日付, 金額 ,勘定科目,,,
2023/12/20," \5,000 ",給料,,,
2023/12/20," \5,000 ",口座移動,,,
2023/12/25," \279,696 ",雑収入,,,
2023/12/25," \7,680 ",雑収入,,,
2023/12/25, \46 ,雑収入,,,
2023/12/26," \63,903 ",支払家賃,,,
2023/12/26," \23,122 ",支払家賃,,,
2023/12/26," \1,000 ",交際費,,,
2023/12/26," \9,160 ",その他の経費,,,
2023/12/26," \2,651 ",その他の経費,,,
2023/12/26," \4,122 ",その他の経費,,,
2023/12/27," \18,900 ",その他の負債,,,
2023/12/27," \5,720 ",通信料,,,
2023/12/27," \4,609 ",保険料,,,
2023/12/27," \1,000 ",交際費,,,
2023/12/27," \7,766 ",その他の経費,,,
2023/12/28," \7,350 ",水道光熱費,,,
2023/12/28," \2,296 ",水道光熱費,,,
2023/12/28," \1,400 ",保険料,,,
2023/12/28," \26,600 ",その他の経費,,,
2023/12/28," \65,550 ",長期借入金,,,
2023/12/28," \3,580 ",車両運転費用,,,
2023/12/28," \12,364 ",その他の経費,,,
2023/12/28," \10,384 ",その他の経費,,,
2023/12/28," \49,000 ",長期借入金,,,
2023/12/28, \110 ,支払手数料,,,
2023/12/28," \2,237 ",その他の経費,,,
2023/12/28," \1,711 ",その他の経費,,,
2023/12/29," \1,000 ",交際費,,,
2023/12/29," \9,000 ",不明な支出,,,
2023/12/31," \2,000 ",交際費,,,
2023/12/31," \3,000 ",交際費,,,
2023/12/31," \9,342 ",その他の経費,,,
2023/12/31," \8,000 ",その他の経費,,,
2023/12/31," \2,530 ",その他の経費,,,
2024/1/1," \1,620 ",交際費,,,
2024/1/2," \7,934 ",車両運転費用,,,
2024/1/2," \5,508 ",車両運転費用,,,
2024/1/2," \2,050 ",その他の経費,,,
2024/1/3," \1,980 ",その他の経費,,,
2024/1/3, \294 ,材料費,,,
2024/1/3," \1,384 ",その他の経費,,,
2024/1/4," \3,249 ",通信料,,,
2024/1/4," \1,320 ",交際費,,,
2024/1/4," \30,110 ",不明な支出,,,
2024/1/4," \2,816 ",通信料,,,
2024/1/10," \18,080 ",その他の経費,,,
2024/1/11," \3,960 ",その他の経費,,,
2024/1/14," \93,830 ",その他の経費,,,
2024/1/14," \4,400 ",その他の経費,,,
2024/1/15," \17,990 ",その他の経費,,,
2024/1/16," \2,079 ",その他の経費,,,
2024/1/16," \650,000 ",雑収入,,,
2024/1/17," \7,957 ",車両運転費用,,,
2024/1/17," \22,000 ",不明な支出,,,
2024/1/17, \110 ,支払手数料,,,
2024/1/17," \180,000 ",不明な支出,,,
2024/1/17, \110 ,支払手数料,,,
2024/1/18," \6,339 ",その他の経費,,,
2024/1/19," \1,140 ",売上,,,
2024/1/19," \4,126 ",その他の経費,,,
2024/1/19," \1,990 ",その他の経費,,,
2024/1/19," \6,077 ",その他の経費,,,
2024/1/20," \3,974 ",その他の経費,,,
2024/1/22," \2,750 ",保守点検費,,,
2024/1/22," \10,110 ",不明な支出,,,
2024/1/22," \10,000 ",不明な支出,,,
2024/1/22," \8,910 ",その他の経費,,,
2024/1/22, \986 ,その他の経費,,,
2024/1/23," \2,408 ",その他の経費,,,
2024/1/23," \128,000 ",不明な支出,,,
2024/1/24," \50,000 ",雑収入,,,
2024/1/24, \110 ,支払手数料,,,
2024/1/24," \47,278 ",不明な支出,,,
2024/1/24," \68,000 ",長期借入金,,,
2024/1/24," \5,423 ",その他の経費,,,
2024/1/25," \177,341 ",雑収入,,,
2024/1/25," \21,000 ",不明な支出,,,
2024/1/25, \215 ,雑収入,,,
2024/1/26," \145,937 ",支払家賃,,,
2024/1/26," \23,122 ",支払家賃,,,
2024/1/26," \5,035 ",その他の経費,,,
2024/1/27," \2,090 ",交際費,,,
2024/1/27," \4,314 ",車両運転費用,,,
2024/1/27," \9,180 ",車両運転費用,,,
2024/1/28," \2,694 ",交際費,,,
2024/1/28," \3,296 ",交際費,,,
2024/1/28," \1,637 ",その他の経費,,,
2024/1/28," \30,000 ",不明な支出,,,
2024/1/28, \328 ,その他の経費,,,1583
2024/1/29," \5,720 ",通信料,,,1126
2024/1/29," \2,970 ",その他の経費,,,
2024/1/30," \4,254 ",その他の経費,,,
2024/1/31," \10,000 ",雑収入,,,
2024/1/31, \110 ,支払手数料,,,
2024/1/31," \3,249 ",通信料,,,
2024/1/31," \2,296 ",水道光熱費,,,
2024/1/31," \1,745 ",交際費,,,
2024/1/31," \3,000 ",車両運転費用,,,
2024/1/31," \2,530 ",その他の経費,,,
2024/1/31," \2,816 ",通信料,,,
2024/1/31," \65,000 ",長期借入金,,,
2024/1/31, \110 ,支払手数料,,,
2024/1/31, \550 ,支払手数料,,,
2024/1/31, \110 ,支払手数料,,,
2024/1/31, \550 ,支払手数料,,,
2024/1/31," \15,000 ",不明な支出,,,
2024/1/31, \110 ,支払手数料,,,
2024/1/31," \2,570 ",その他の経費,,,
2024/1/31," \10,000 ",不明な支出,,,
2024/2/1," \2,000 ",交際費,,,
2024/2/1," \1,000 ",交際費,,,
2024/2/2," \4,126 ",その他の経費,,,
2024/2/2," \7,366 ",材料費,,,
2024/2/3," \1,980 ",その他の経費,,,
2024/2/3," \3,974 ",その他の経費,,,
2024/2/3," \6,000 ",口座移動,,,
2024/2/3," \5,500 ",給料,,,
2024/2/3," \6,000 ",口座移動,,,
2024/2/4, \940 ,その他の経費,,,
2024/2/5," \2,219 ",その他の経費,,,
2024/2/5," \33,747 ",売上,,,
2024/2/6, \508 ,その他の経費,,,
2024/2/6," \3,000 ",不明な支出,,,
2024/2/6," \4,217 ",その他の経費,,,
2024/2/7," \61,200 ",その他の経費,,,
2024/2/7," \35,400 ",その他の経費,,,
2024/2/7," \1,300 ",その他の経費,,,
2024/2/7," \1,017 ",その他の経費,,,
2024/2/7," \206,640 ",雑収入,,,
2024/2/8," \50,000 ",長期借入金,,,
2024/2/9," \120,000 ",雑収入,,,
2024/2/9," \4,210 ",材料費,,,
2024/2/9," \30,000 ",不明な支出,,,
2024/2/9," \2,974 ",売上,,,
2024/2/10," \1,720 ",食費,,,
2024/2/10," \22,324 ",その他の経費,,,
2024/2/10," \4,400 ",その他の経費,,,
2024/2/10, \1 ,その他の収益,,,
2024/2/11," \2,525 ",その他の経費,,,
2024/2/11," \4,293 ",その他の経費,,,
2024/2/11," \2,795 ",材料費,,,
2024/2/11," \2,420 ",その他の経費,,,
2024/2/11, \692 ,その他の経費,,,
2024/2/11," \4,088 ",その他の経費,,,
2024/2/12," \2,079 ",その他の経費,,,
2024/2/13," \8,763 ",水道光熱費,,,
2024/2/13," \6,570 ",その他の経費,,,
2024/2/14," \1,810 ",交際費,,,
2024/2/14," \68,250 ",光熱費+その他の経費,,,
2024/2/14," \37,479 ",通信料,,,
2024/2/15," \1,000 ",交際費,,,
2024/2/15," \3,000 ",車両運転費用,,,
2024/2/16," \8,585 ",売上,,,
2024/2/17," \2,057 ",交際費,,,
2024/2/17," \2,110 ",交際費,,,
2024/2/17," \5,508 ",車両運転費用,,,
2024/2/17," \7,138 ",車両運転費用,,,
2024/2/18," \14,707 ",その他の経費,,,
2024/2/18," \4,180 ",その他の経費,,,
2024/2/18," \6,853 ",材料費,,,
2024/2/18," \1,875 ",その他の経費,,,
2024/2/18," \1,461 ",その他の経費,,,
2024/2/18," \1,448 ",その他の経費,,,
2024/2/19," \1,000 ",交際費,,,
2024/2/20," \2,000 ",交際費,,,
2024/2/20," \1,936 ",その他の経費,,,
2024/2/20," \2,080 ",その他の経費,,,
2024/2/21," \2,187 ",その他の経費,,,
2024/2/21," \1,094 ",その他の経費,,,
2024/2/22," \177,341 ",雑収入,,,
2024/2/22," \2,450 ",その他の経費,,,
2024/2/22," \6,000 ",不明な支出,,,
2024/2/23," \2,586 ",その他の経費,,,
2024/2/24," \3,176 ",その他の経費,,,
2024/2/25," \10,000 ",不明な支出,,,
2024/2/26," \63,903 ",支払家賃,,,
2024/2/26," \23,122 ",支払家賃,,,
2024/2/26," \2,814 ",その他の経費,,,
2024/2/26," \1,430 ",その他の経費,,,
2024/2/26, \389 ,その他の経費,,,
2024/2/27," \18,900 ",その他の負債,,,
2024/2/27," \5,720 ",通信料,,,
2024/2/27," \9,210 ",保険料,,,
2024/2/27," \1,000 ",交際費,,,
2024/2/27," \3,523 ",その他の経費,,,
2024/2/28," \2,800 ",保険料,,,
2024/2/28," \2,530 ",その他の経費,,,
2024/2/28," \2,186 ",その他の経費,,,
2024/2/28," \5,465 ",その他の経費,,,
2024/2/29, \825 ,通信料,,,
2024/2/29," \8,577 ",水道光熱費,,,
2024/2/29," \2,731 ",水道光熱費,,,
2024/2/29," \26,600 ",その他の経費,,,
2024/2/29," \65,550 ",長期借入金,,,
2024/2/29," \30,000 ",不明な支出,,,
2024/2/29," \5,000 ",不明な支出,,,
2024/2/29," \3,000 ",車両運転費用,,,
2024/2/29," \5,740 ",その他の経費,,,
2024/2/29," \15,400 ",その他の経費,,,
2024/2/29," \9,628 ",その他の経費,,,
2024/2/29," \3,391 ",その他の経費,,,
2024/2/29," \12,000 ",不明な支出,,,
2024/2/29, \110 ,支払手数料,,,
2024/3/1," \7,030 ",材料費,,,
2024/3/1," \3,090 ",売上,,,
2024/3/3," \3,974 ",その他の経費,,,
2024/3/3," \9,200 ",材料費,,,
2024/3/3," \1,980 ",その他の経費,,,
2024/3/4," \18,877 ",材料費,,,
2024/3/4," \1,885 ",材料費,,,
2024/3/5," \1,405 ",その他の経費,,,
2024/3/5, \999 ,その他の経費,,,
2024/3/6," \1,559 ",その他の経費,,,
2024/3/7," \3,090 ",売上,,,
2024/3/8, \875 ,その他の経費,,,
2024/3/9," \20,035 ",固定資産,,,
2024/3/9," \17,800 ",固定資産,,,
2024/3/10," \9,360 ",車両運転費用,,,
2024/3/10," \6,641 ",車両運転費用,,,
2024/3/10," \5,355 ",その他の経費,,,
2024/3/10," \2,560 ",材料費,,,
2024/3/11," \5,000 ",雑収入,,,
2024/3/11, \110 ,支払手数料,,,
2024/3/11," \1,341 ",交際費,,,
2024/3/11," \5,207 ",その他の経費,,,
2024/3/11," \3,000 ",車両運転費用,,,
2024/3/11," \5,000 ",不明な支出,,,
2024/3/12," \1,000 ",交際費,,,
2024/3/12," \4,100 ",不明な支出,,,
2024/3/12," \4,640 ",材料費,,,
